CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,subscription duration,average subscription
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,638",365,365.3498387
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,456",365,365.3498387
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,833",365,365.3498387
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,309",365,365.3498387
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,153",365,365.3498387
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,317",365,365.3498387
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,991",365,365.3498387
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,278",365,365.3498387
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,296",365,365.3498387
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,168",365,365.3498387
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,502",365,365.3498387
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,855",365,365.3498387
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,807",365,365.3498387
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,078",366,365.3498387
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,285",366,365.3498387
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,960",366,365.3498387
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,631",366,365.3498387
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,485",366,365.3498387
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,980",366,365.3498387
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,443",366,365.3498387
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,728",365,365.3498387
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,360",365,365.3498387
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,787",365,365.3498387
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,143",365,365.3498387
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,996",365,365.3498387
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,040",365,365.3498387
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,873",365,365.3498387
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,312",365,365.3498387
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,258",365,365.3498387
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,921",365,365.3498387
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,286",365,365.3498387
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,597",365,365.3498387
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,275",365,365.3498387
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,019",366,365.3498387
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,212",366,365.3498387
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,511",366,365.3498387
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,308",366,365.3498387
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,925",366,365.3498387
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,047",366,365.3498387
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,639",366,365.3498387
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,829",365,365.3498387
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,067",365,365.3498387
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,125",365,365.3498387
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,633",365,365.3498387
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,633",365,365.3498387
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,850",365,365.3498387
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,845",365,365.3498387
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,947",365,365.3498387
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,919",365,365.3498387
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,052",365,365.3498387
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,051",365,365.3498387
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,800",365,365.3498387
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,183",365,365.3498387
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,066",366,365.3498387
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,068",366,365.3498387
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,917",366,365.3498387
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,222",366,365.3498387
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,805",366,365.3498387
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,278",366,365.3498387
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"1,180",366,365.3498387
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,251",365,365.3498387
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,147",365,365.3498387
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,601",365,365.3498387
